,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-05-18,2.3927372150516524,2.391507927030706,2.442641163161886,2.3927372150516524,2.3927372150516524,0.024750639239872925,0.024750639239872925,0.024750639239872925,2.0567762011560623e-05,2.0567762011560623e-05,2.0567762011560623e-05,0.024730071477861364,0.024730071477861364,0.024730071477861364,0.0,0.0,0.0,2.4174878542915255
1,2016-05-24,2.391957582346351,2.3973749339970403,2.448146497696879,2.391957582346351,2.391957582346351,0.030734832215966738,0.030734832215966738,0.030734832215966738,0.0018582141341940885,0.0018582141341940885,0.0018582141341940885,0.028876618081772647,0.028876618081772647,0.028876618081772647,0.0,0.0,0.0,2.4226924145623174
2,2016-07-11,2.3918569845779247,2.4045594664487826,2.452160812934646,2.3918569845779247,2.3918569845779247,0.037685160446334166,0.037685160446334166,0.037685160446334166,2.0567761999880463e-05,2.0567761999880463e-05,2.0567761999880463e-05,0.03766459268433429,0.03766459268433429,0.03766459268433429,0.0,0.0,0.0,2.429542145024259
3,2017-02-24,2.3913791451779014,2.3470885007684985,2.3955247915348243,2.3913791451779014,2.3913791451779014,-0.01957506295531437,-0.01957506295531437,-0.01957506295531437,0.008341193326289015,0.008341193326289015,0.008341193326289015,-0.02791625628160339,-0.02791625628160339,-0.02791625628160339,0.0,0.0,0.0,2.371804082222587
4,2017-03-08,2.3913539957357948,2.350754203148063,2.3998646373106665,2.3913539957357948,2.3913539957357948,-0.015142990394900153,-0.015142990394900153,-0.015142990394900153,-0.002977184742862817,-0.002977184742862817,-0.002977184742862817,-0.012165805652037337,-0.012165805652037337,-0.012165805652037337,0.0,0.0,0.0,2.3762110053408945
5,2017-03-20,2.3913288462936886,2.357002035905529,2.409863845485147,2.3913288462936886,2.3913288462936886,-0.009159877395149238,-0.009159877395149238,-0.009159877395149238,2.0567762016318485e-05,2.0567762016318485e-05,2.0567762016318485e-05,-0.009180445157165557,-0.009180445157165557,-0.009180445157165557,0.0,0.0,0.0,2.3821689688985392
6,2017-04-01,2.391303696851582,2.351091877503603,2.3990447038776184,2.391303696851582,2.391303696851582,-0.014851944500078587,-0.014851944500078587,-0.014851944500078587,-0.0008931750872124837,-0.0008931750872124837,-0.0008931750872124837,-0.013958769412866102,-0.013958769412866102,-0.013958769412866102,0.0,0.0,0.0,2.376451752351503
7,2017-04-13,2.391434849971883,2.361330868979316,2.4120297297439497,2.391434849971883,2.391434849971883,-0.003993574865658764,-0.003993574865658764,-0.003993574865658764,-0.007423417490226624,-0.007423417490226624,-0.007423417490226624,0.00342984262456786,0.00342984262456786,0.00342984262456786,0.0,0.0,0.0,2.3874412751062244
8,2017-04-25,2.391566003092183,2.385395736125296,2.438272551456115,2.391566003092183,2.391566003092183,0.01870883460375905,0.01870883460375905,0.01870883460375905,0.001858214134191898,0.001858214134191898,0.001858214134191898,0.016850620469567153,0.016850620469567153,0.016850620469567153,0.0,0.0,0.0,2.410274837695942
9,2017-05-07,2.391697156212484,2.3838147813644364,2.4348626896923333,2.391697156212484,2.391697156212484,0.017947824832321584,0.017947824832321584,0.017947824832321584,0.00107380209783816,0.00107380209783816,0.00107380209783816,0.016874022734483424,0.016874022734483424,0.016874022734483424,0.0,0.0,0.0,2.4096449810448055
10,2017-05-19,2.3918283093327846,2.4001099196506304,2.4497112233138654,2.3918283093327846,2.3918283093327846,0.03440973846842995,0.03440973846842995,0.03440973846842995,0.008341193326287194,0.008341193326287194,0.008341193326287194,0.02606854514214275,0.02606854514214275,0.02606854514214275,0.0,0.0,0.0,2.4262380478012147
11,2017-05-31,2.391959462453085,2.3910799800178912,2.4397777162194294,2.391959462453085,2.391959462453085,0.022869524398663438,0.022869524398663438,0.022869524398663438,-0.002977184742862339,-0.002977184742862339,-0.002977184742862339,0.02584670914152578,0.02584670914152578,0.02584670914152578,0.0,0.0,0.0,2.4148289868517487
